datetime,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2015-10-01,0.4961979312272854,0.4662321099617402,0.46264031805425637,0.48281379310344824,0.4377618522601987,0.46689005465681577,0.46186417675479086,0.4698700053576969,0.4777368122518437,0.46544000907235217,0.465076909605674,0.4631789693593313,0.47120803005400314,0.4626676076217363,0.4664087947882734,0.47105949895615856,0.460979211632398
2015-10-02,0.49563880346659195,0.46600538472438746,0.46205565949485494,0.4789793103448279,0.43461962513781693,0.4658738224065476,0.46254275012214335,0.46910864845049727,0.47387975042541114,0.46396575187117284,0.46361752429876524,0.4624535747446609,0.4702394928386946,0.4602964008468594,0.46507096323871605,0.5177453027139877,0.45813927070316934
2015-10-03,0.49024322057590125,0.46311463794813695,0.4613833021515434,0.4769655172413796,0.4363009922822495,0.46554423356862323,0.46121274632213244,0.4674167442122774,0.4715541690300625,0.4621229303696983,0.4615743848690929,0.4620183379758591,0.4681850199577365,0.4580098800282287,0.46254071661237783,0.5200417536534445,0.4571168919686473
2015-10-04,0.48809057869723205,0.4632846818761515,0.4604186155285314,0.4746206896551729,0.4345369349503859,0.4658738224065476,0.45939416969762764,0.4671347601725743,0.4698525241066361,0.4609605352687688,0.46137007092612586,0.4615831012070566,0.46759802770603404,0.4578969654199013,0.46184271754304324,0.5201722338204591,0.4571168919686473
2015-10-05,0.4837852949398936,0.46283123140144533,0.45778765201122595,0.4761655172413797,0.43348952590959244,0.46186382487846384,0.4586341675261929,0.4666835857090487,0.4689733408961995,0.4598831934679066,0.46034850121129,0.4605965645311051,0.4662479455271194,0.4578405081157376,0.4607957189390417,0.5205897703549061,0.45731568783369314
2015-10-06,0.48406485882024064,0.4614141986679892,0.4580799812909263,0.4769655172413796,0.4323869900771776,0.461753961932489,0.46012702893436824,0.46496348306685853,0.46704480998298387,0.457473349965979,0.45903505443507203,0.4591747910863511,0.46551420521249154,0.4571630204657729,0.4605339692880408,0.5226513569937368,0.4539645575372031
2015-10-07,0.4835896002236511,0.4588635397477685,0.45881080449017797,0.473434482758621,0.4320562293274529,0.461753961932489,0.4583084523098634,0.46301779319290526,0.4643221781055022,0.4558006350646404,0.4575756691281633,0.458188254410399,0.46348908194411853,0.45625970359915347,0.45928338762215015,0.5233298538622128,0.45487333863455676
2015-10-08,0.4813251327928433,0.4591186056397904,0.4589277362020581,0.4726896551724142,0.42872105843439945,0.46233074239885735,0.4587970251343574,0.4627076107492312,0.4636698808848555,0.4545815377636656,0.4578675461895448,0.45763695450325004,0.46193355247710755,0.4553846153846152,0.4594869706840392,0.5238778705636743,0.4539077587186186
2015-10-09,0.4813251327928433,0.45753152897831967,0.458840037418148,0.4706482758620693,0.4275082690187433,0.4616990304595016,0.45749416426904055,0.4623410314976172,0.4606069200226883,0.45358924926287136,0.4570794781238141,0.4580141597028783,0.4610237144869692,0.45569513055751604,0.45855630525825997,0.5238778705636743,0.4562649096898788
2015-10-10,0.4797316186748669,0.45843842992773143,0.4605940130963517,0.47078620689655193,0.4277563395810363,0.46230327666236365,0.45765702187720503,0.46222823788173595,0.4615995462280205,0.45381605806305325,0.4573713551851963,0.459610027855153,0.4608769664240431,0.455074100211715,0.45902163797114925,0.5241910229645096,0.4542769510394186
2015-10-11,0.4807100922560806,0.45812668272637136,0.46112020579981305,0.47006896551724164,0.42742557883131227,0.4624131396083384,0.4577384506812878,0.46222823788173595,0.46074872376630766,0.4533340893626675,0.4576340445404396,0.4598131383472612,0.4608769664240431,0.455074100211715,0.4595160539785948,0.5241910229645096,0.4535101669885269
2015-10-12,0.4801789208834218,0.45988380331585665,0.46027245088868124,0.4707310344827589,0.42742557883131227,0.46480265868329274,0.4586341675261929,0.4631023884048162,0.46035167328417465,0.4531072805624863,0.4571962289483667,0.4606545961002787,0.4605834702981922,0.4556386732533524,0.45960330386226156,0.5243736951983299,0.4525161876632965
2015-10-13,0.4793122728543473,0.4625761655094235,0.45980472404115996,0.47039999999999993,0.4281422271223817,0.46266033123678174,0.4585527387221107,0.46324338042466773,0.460635280771412,0.4530789294624636,0.45594115758442566,0.46036443825441015,0.45979103075839417,0.45620324629498976,0.46030130293159616,0.5262265135699375,0.4544189480858799
2015-10-14,0.477243500139782,0.46039393509990106,0.4613833021515434,0.47117241379310393,0.42687431091510486,0.46340190612211285,0.4603441724119208,0.46248202351746875,0.45995462280204225,0.45237015196189656,0.45582440675987307,0.460480501392758,0.4595562338577135,0.45529992942836967,0.46114471847370864,0.5264352818371607,0.45456094513234124
2015-10-15,0.47537042214145914,0.45991214397052577,0.4604478484565015,0.46929655172413826,0.4278390297684673,0.46414348100744335,0.4605070300200859,0.4618052618221807,0.4589336358479863,0.4517464277613975,0.4541315198038585,0.45969707520891334,0.45949753463254267,0.45498941425546946,0.46033038622615174,0.527453027139875,0.4540781551743728
2015-10-16,0.4737489516354487,0.45818336403570953,0.4579045837231061,0.46543448275862076,0.425523704520397,0.46079266115520895,0.46012702893436824,0.46169246820629944,0.4591605218377762,0.4504989793603994,0.4534310148565423,0.45937790157845865,0.45758980981451064,0.4544248412138321,0.45890530479292696,0.5264352818371607,0.45325457230489596
2015-10-17,0.4694436678781103,0.45716310046762076,0.4581384471468664,0.4620965517241379,0.42439360529217185,0.46189129061495754,0.45925845502415724,0.45946479429264303,0.45672149744753265,0.4504989793603994,0.45270132220308795,0.4579271123491179,0.4567680206621275,0.4542554693013411,0.4581200558399256,0.5257306889352819,0.4512382142451441
2015-10-18,0.4696393625943528,0.4563979027915545,0.4579045837231061,0.45961379310344863,0.42400771775082713,0.4590073882831166,0.4597470278486512,0.45943659588867275,0.4569483834373226,0.4493649353594919,0.4529056361460556,0.45784006499535757,0.45638647569852075,0.4534086097388853,0.4588180549092602,0.5256002087682674,0.45172100420311256
2015-10-19,0.4710371819960861,0.45486750743942195,0.457846117867166,0.460386206896552,0.4231256890848957,0.45815595045181134,0.45803702296292265,0.45923920706087995,0.45731707317073184,0.4491664776593333,0.4527305099092261,0.45708565459610034,0.4558581826719885,0.4539449541284402,0.45823638901814795,0.5251826722338204,0.45177780302169707
2015-10-20,0.46533407883701433,0.45211846393651695,0.45404583723105696,0.4582620689655176,0.4228224917309813,0.45656293773517553,0.45502415721187794,0.455714406564588,0.4549631310266588,0.44896801995917474,0.4515630016636995,0.45615714948932246,0.45574078422164815,0.45236414961185606,0.45730572359236865,0.5245041753653444,0.4507270248778828
2015-10-21,0.45965893206597724,0.4503330026923626,0.4526134237605237,0.45346206896551755,0.4211411245865494,0.4521409541596856,0.4560013028608652,0.452668978935792,0.45450935904707895,0.44692674075754163,0.4500452409445145,0.4547353760445685,0.4538037097910311,0.45064220183486264,0.4560260586319218,0.523669102296451,0.45177780302169707
2015-10-22,0.4521945764607212,0.4476689811534649,0.4493978016838168,0.4514206896551727,0.41780595369349527,0.4484330797330331,0.45521415775473645,0.4480726390886277,0.4512762336925693,0.44553753685643027,0.44832316628236174,0.45209493964716807,0.45110354543320036,0.44846859562455926,0.4539611447184736,0.523669102296451,0.44973304555265237
2015-10-23,0.44760972882303574,0.4441547399744936,0.44539289055191816,0.44711724137931075,0.4130374862183023,0.4453569172457357,0.45312415178329085,0.44426585455263207,0.44948950652297237,0.4433261510546612,0.4459589620851698,0.44925139275766013,0.44957736557877453,0.4470007057163024,0.45241973010702646,0.47359081419624216,0.4462399182097017
2015-10-24,0.4421582331562764,0.4431344764064048,0.4426449953227318,0.44162758620689696,0.40992282249173084,0.44186876871103276,0.45206557733022074,0.4393593322617937,0.4470221213840043,0.44043433885234784,0.4443828259537084,0.4463788300835654,0.44755224231040147,0.4446859562455892,0.4508492322010238,0.457802713987474,0.4460411223446552
2015-10-25,0.4394185071288791,0.44083888337820604,0.44092025257249756,0.4395862068965521,0.40818632855567827,0.4417039742920706,0.4489712827750938,0.4383441897188619,0.44648326715825326,0.4389317305511458,0.4435071947695633,0.4447249303621171,0.44602606245597565,0.4442342978122798,0.45006398324802244,0.45579331941544904,0.444308758377826
2015-10-26,0.43799273133911115,0.4404137735581696,0.43744153414406023,0.4373793103448281,0.40578831312017627,0.44068774204180244,0.4487812822322346,0.4360883174012352,0.44534883720930235,0.4366352914493082,0.4426023758792794,0.44243268337975883,0.44429443531345414,0.44273817925194114,0.44904606793857643,0.4522442588726512,0.4429455867317962
2015-10-27,0.428962818003914,0.43729630154456567,0.4320042095416277,0.43128275862069004,0.40347298787210595,0.43590870389189446,0.4469084197383423,0.42971547810393945,0.44319342030629616,0.43320480834656433,0.4394209159102186,0.43921193129062197,0.44385419112467717,0.4416372618207482,0.4470393206142394,0.44866910229645107,0.44030444166761334
2015-10-28,0.4209113782499299,0.4344905767323225,0.4270930776426572,0.42463448275862087,0.39925578831312036,0.4306902139580872,0.4435969817056621,0.4238784084820796,0.4422858763471358,0.4301145384440917,0.43667727153323005,0.4343662952646242,0.4398039445879318,0.4399717713479185,0.44541065611912556,0.4459029227557414,0.43627172554810845
