datetime,Foreign oil,Foreign oil_1,Foreign oil_2,Foreign oil_3,Foreign oil_4,Foreign oil_5,Foreign oil_6,Foreign oil_7,Foreign oil_8,Foreign oil_9,Foreign oil_10,korea oil
2018-01-22,0.726942973,0.729302296,0.707910674,0.65876861,0.639616452,0.618479267,0.588884683,0.626003028,0.624198839,0.59015897,0.620817562,0.608821079
2018-01-29,0.750839011,0.726942973,0.729302296,0.707910674,0.65876861,0.639616452,0.618479267,0.588884683,0.626003028,0.624198839,0.59015897,0.620446052
2018-02-05,0.736045925,0.750839011,0.726942973,0.729302296,0.707910674,0.65876861,0.639616452,0.618479267,0.588884683,0.626003028,0.624198839,0.632413776
2018-02-12,0.654523089,0.736045925,0.750839011,0.726942973,0.729302296,0.707910674,0.65876861,0.639616452,0.618479267,0.588884683,0.626003028,0.642001286
2018-02-19,0.661008075,0.654523089,0.736045925,0.750839011,0.726942973,0.729302296,0.707910674,0.65876861,0.639616452,0.618479267,0.588884683,0.64525266
2018-02-26,0.671221297,0.661008075,0.654523089,0.736045925,0.750839011,0.726942973,0.729302296,0.707910674,0.65876861,0.639616452,0.618479267,0.641582367
2018-03-05,0.671686012,0.671221297,0.661008075,0.654523089,0.736045925,0.750839011,0.726942973,0.729302296,0.707910674,0.65876861,0.639616452,0.638012044
2018-03-12,0.637143578,0.671686012,0.671221297,0.661008075,0.654523089,0.736045925,0.750839011,0.726942973,0.729302296,0.707910674,0.65876861,0.632370932
2018-03-19,0.656346202,0.637143578,0.671686012,0.671221297,0.661008075,0.654523089,0.736045925,0.750839011,0.726942973,0.729302296,0.707910674,0.623116654
2018-03-26,0.717732778,0.656346202,0.637143578,0.671686012,0.671221297,0.661008075,0.654523089,0.736045925,0.750839011,0.726942973,0.729302296,0.611220336
2018-04-02,0.745830179,0.717732778,0.656346202,0.637143578,0.671686012,0.671221297,0.661008075,0.654523089,0.736045925,0.750839011,0.726942973,0.60540785
2018-04-09,0.715322988,0.745830179,0.717732778,0.656346202,0.637143578,0.671686012,0.671221297,0.661008075,0.654523089,0.736045925,0.750839011,0.601966058
2018-04-16,0.771679704,0.715322988,0.745830179,0.717732778,0.656346202,0.637143578,0.671686012,0.671221297,0.661008075,0.654523089,0.736045925,0.599081236
2018-04-23,0.801665405,0.771679704,0.715322988,0.745830179,0.717732778,0.656346202,0.637143578,0.671686012,0.671221297,0.661008075,0.654523089,0.602123152
2018-04-30,0.801431996,0.801665405,0.771679704,0.715322988,0.745830179,0.717732778,0.656346202,0.637143578,0.671686012,0.671221297,0.661008075,0.610420584
2018-05-07,0.817493061,0.801431996,0.801665405,0.771679704,0.715322988,0.745830179,0.717732778,0.656346202,0.637143578,0.671686012,0.671221297,0.630285864
2018-05-14,0.874028514,0.817493061,0.801431996,0.801665405,0.771679704,0.715322988,0.745830179,0.717732778,0.656346202,0.637143578,0.671686012,0.653121652
2018-05-21,0.893184877,0.874028514,0.817493061,0.801431996,0.801665405,0.771679704,0.715322988,0.745830179,0.717732778,0.656346202,0.637143578,0.691823959
2018-05-28,0.890190512,0.893184877,0.874028514,0.817493061,0.801431996,0.801665405,0.771679704,0.715322988,0.745830179,0.717732778,0.656346202,0.738452384
2018-06-04,0.864111784,0.890190512,0.893184877,0.874028514,0.817493061,0.801431996,0.801665405,0.771679704,0.715322988,0.745830179,0.717732778,0.764387213
2018-06-11,0.837309698,0.864111784,0.890190512,0.893184877,0.874028514,0.817493061,0.801431996,0.801665405,0.771679704,0.715322988,0.745830179,0.771170828
2018-06-18,0.842776937,0.837309698,0.864111784,0.890190512,0.893184877,0.874028514,0.817493061,0.801431996,0.801665405,0.771679704,0.715322988,0.770342513
2018-06-25,0.821990916,0.842776937,0.837309698,0.864111784,0.890190512,0.893184877,0.874028514,0.817493061,0.801431996,0.801665405,0.771679704,0.766757908
2018-07-02,0.886724073,0.821990916,0.842776937,0.837309698,0.864111784,0.890190512,0.893184877,0.874028514,0.817493061,0.801431996,0.801665405,0.764258682
2018-07-09,0.889026621,0.886724073,0.821990916,0.842776937,0.837309698,0.864111784,0.890190512,0.893184877,0.874028514,0.817493061,0.801431996,0.767700473
